username,display_name,cleaned_content,sentiment_score,comments,reposts,keyword_score,repost_to_comment_ratio,is_suspicious_engagement,user_negative_post_count,suspicion_score
@ReehanaTaj,Queen of Chai,"Hindu terrorists have attacked a Muslim man in a tea shop in India! UK PM has signed a huge deal with Terrorist Dictator Indian PM Modi, looks like the UK funds terrorism  BoycottIndia  Starmerroids",-0.9312,0,0,6,0.0,False,1.0,9.9312
@Truther178,Truther1974WeAreAllPalestinians #FreeGaza,"Until India continue to support Nazi israel illegal settlement in the Occupied Palestinian Territories (OPT) they should be banned from any commercial or relationship with other countries, like China, Russia, NK.  BoycottIndia.",-0.34,0,0,4,0.0,False,1.0,6.34
@NicoleB00686318,Nicole Barrett,BOYCOTTMOROCCO  BoycottChina  BOYCOTTINDIA  BOYCOTTTURKEY.. SHAME ON YOUR GOVERNMENTS FOR ALLOWING SUCH CRUELTY. YOU WILL MEET YOUR MAKER ...,-0.8579,0,2,2,2.0,False,1.0,3.8579
@WeichselChris,Christian Weichselbaum,India  has chosen their alliance. But then they shouldn’t be trying to sell Europe  their crappy services on LinkedIN.  BoycottIndia   You can’t be supporting the war against Europe and at the same time expect to do business with us.,-0.8126,1,0,1,0.0,False,1.0,2.3125999999999998
@seafaringlib,the seafaring libertarian,Eff India and eff china.  Both horrible countries filled with horrible people.  BoycottChina  boycottindia,-0.7906,0,0,1,0.0,False,1.0,2.2906
@AugustWest21,A. West,BoycottIndia until they stop these asshat scammers and fraudsters!,-0.7088,0,0,1,0.0,False,1.0,2.2088
@janusethical,janjan,"BoycottIndia in  Australia, these rats infested with salmonella from curries cannot be trusted the least, look what they did to  Canada@ they totally have taken over all of Canada's summer jobs leaving youths jobless because they only hire  Indians ! This should be warning",-0.6423,1,0,1,0.0,False,1.0,2.1423
@PJLopez58,P J Lopez,BoycottIndia products until they stop supporting Russia’s war against Ukraine by purchasing Russian oil.,-0.4939,0,0,1,0.0,False,1.0,1.9939
@LtakeGameReview,VoidnStuff,blamecanada The only way to fight against mass immigration   CanadaImmigration  boycottindia,-0.3818,0,0,1,0.0,False,1.0,1.8818
@Cern_IXXI,23Enigma.,"BoycottKRBL Limited: Known for its ""India Gate"" brand, KRBL is the world's largest basmati rice exporter, supplying to over 80 countries, including EU nations.  The civilised world needs to seriously  BoycottIndia",-0.3818,0,0,1,0.0,False,1.0,1.8818
@Poushmitra,PuShu (),"Hey    never mess with    , im sure  BoycottIndia trend will start soon in USA   BoycottIndians",0.5283,0,0,1,0.0,False,0.0,1.5
@dilthi_gujarati,Dilthi Gujarati,BoycottIndia too following footsteps of China,0.0,0,0,1,0.0,False,0.0,1.5
@klmaap,Kumar,BoycottIndia,0.0,0,0,1,0.0,False,0.0,1.5
@BushyMaple,Luigi,BoycottIndia  BoycottIndians  Walk out of ever establishment that is indian taking jobs from our kids in US & Canada  FYI vegetarian can’t cook meat!,0.4263,0,0,1,0.0,False,0.0,1.5
@ayfer_levent,"Ayfer LEVENT,DEÜ FLOREBO QU0QUMCUE FERAR",Stoppedimalcruelty boycottına,0.0,0,0,1,0.0,False,0.0,1.5
@roastedpotato47,Shane,Dairy Queen in Holly Michigan ONLY HIRES JEETS. Never going there again.  boycottindia,0.0,0,0,1,0.0,False,0.0,1.5
@FarhanSattarG,Farhan Sattar,Lol ghanta swadesi.   The world must unite against indian atrocities against minorities and its neighbours.  boycott all indian products   BoycottIndianProducts   boycottindia,0.128,0,0,1,0.0,False,0.0,1.5
@MuntasirSarkar,Muntasir Sarkar,"Bangladesh goverment has allowed import of  onion from  India to reduce and stable the price.  Where is your  boycottindia programme , Mr. Pinki?",0.296,0,0,1,0.0,False,0.0,1.5
@Cern_IXXI,23Enigma.,Who knows? Geopolitics in action.    IndianEconomy  russianoil  BoycottIndia,0.0,0,0,1,0.0,False,1.0,1.5
@Cern_IXXI,23Enigma.,It's way past the time when the civilised world should have decided to  BoycottIndia,0.0,0,0,1,0.0,False,1.0,1.5
@Cern_IXXI,23Enigma.,It's time for the civilised world to  BoycottIndia,0.0,1,0,1,0.0,False,1.0,1.5
@Cern_IXXI,23Enigma.,I think it's time for the civilised world to get  BoycottIndia trending.,0.0,0,0,1,0.0,False,1.0,1.5
@The_Time_Bender,TheTimeBender-SIFF,BoycottIndependenceDay  BoycottIndia,0.0,0,13,1,13.0,False,0.0,1.5
@1Springhead,J-Me,BoycottIndia  India  animalabuse  AnimalCruelty,0.0,0,0,1,0.0,False,0.0,1.5
@The_Time_Bender,TheTimeBender-SIFF,"Supreme Clown Court of India setting new standards for duty and service.   Fucking chootiyas, all of them.  4th largest economy, my arse.    BoycottIndependenceDay  BoycottIndia",0.5574,0,2,1,2.0,False,0.0,1.5
