username,display_name,cleaned_content,sentiment_score,comments,reposts,keyword_score,repost_to_comment_ratio,is_suspicious_engagement,user_negative_post_count,suspicion_score
@Hazzy_1298,Hazzy,"""Stop  JCB's Bulldozer  Genocide A report on Human Rights Violations  Palestine,  India and  Kashmir"", 22 January 2025  FreePalestine  FreeKashmir  Muslims  Israel Download here",-0.6808,1,0,5,0.0,False,1.0,8.1808
@princeminhas11,Amir Minhas,"All the arguments rejected all the misconduct! Those who are sitting here just reject occupation! Thus all the world flags and anthem! Those who deny us are the flags, the anthem! If they are occupied, then why should they be called credible? This older brother's fury, this excuse was rejected!  Kashmir Freekashmir",-0.9577,0,0,2,0.0,False,1.0,3.9577
@ABDULHAFEE51425,ABDUL HAFEEZ,"Kashmir is not free. It’s occupied. Lives monitored, voices crushed, futures stolen.  But no chain is permanent. No silence is eternal. Kashmir will rise.   FreeKashmir  KashmirUnderOccupation  KashmirWillRise  VoiceForKashmir",-0.8574,0,1,2,1.0,False,1.0,3.8574
@faizankshmiri8,Faizan kashmiri,"Hunger Strike Students arrest students in Rawlakot, Rawlakot resonates from the city of Naunan StopstateterRorism Rawalakot Kashmir Freekashmir",-0.5994,0,0,2,0.0,False,1.0,3.5994
@Awakeningmedia1,TAM,"Indian forces launched yet another cordon & search operation in Baramulla’s Uri area, IIOJK, claiming “suspicious movement” near LoC.  civilians face harassment under the guise of security. Daily military siege exposes India’s colonial grip.  FreeKashmir   BJP",-0.2732,1,6,2,3.0,False,1.0,3.2732
@AdvNehaQadir,Neha Qadir,"Breaking in   Another sham unfolds: IIOJK  legislature faces a nomination row, proving that democracy under occupation is nothing but political theatre    FreeKashmir  LoveIslandUSA  arkanis  KengNamping  ZeePruk  emiamily",0.0,1,0,2,0.0,False,0.0,3.0
@Dimagkidahi5,Dimagkidahi,"India’s “democracy” in IIOJK now means stealing schools and silencing pens. Afraid of knowledge, because truth writes its own freedom.   IIOJK  FreeKashmir  EndOccupation  KashmirBleeds  bb27  BBNaijaS10  LoveIsland  WINTER  LoveIslandUSA",0.3182,0,0,2,0.0,False,0.0,3.0
@ProvatDhara_,ধারা,"They're the same kinda people and I feel tired arguing with them so I just ignore them! Anyways,  FreeArakan  FreeKashmir  FreeUyghur  FreePalestine  freesudan   note: It contains music",-0.8383,0,1,0,1.0,False,1.0,0.8383
@AwazTheVoiceHin,Awaz -The Voice हिन्दी,All-party delegation of Jammu and Kashmir should visit jails where Kashmiri prisoners are closed: Mehbooba told Omar Abdullah JAMMUKASHMIR JKVISIMIR JKVISHMIR MHBOOBOOBOObamufti omarabdullah justiceforkashmir awazThevoice,-0.5106,0,0,0,0.0,False,1.0,0.5106
@Naeem_Thorar,Naeem Arif,We Stand with Kashmir Students   We condemn brutal arrests & demand immediate release of students unconditional withdrawal of FIRs & a peaceful solution respecting Kashmir's will Let's raise our voices for Kashmir's freedom   KashmirDeservesJustice  StandWithKashmir  FreeKashmir,0.4404,0,0,0,0.0,False,0.0,0.0
@SardarAbid87,Abid kashmiri,"Rawalkot has made history. The public referendum has proved that as it is to live in Kashmir, it is to say Jiw Kashmir @ freekashmir",0.0,0,0,0,0.0,False,0.0,0.0
@serioustroll99,Ultra-sound,FreePalestine  FreeKashmir,0.0,0,0,0,0.0,False,0.0,0.0
@Qandhari_Ksh,Faris,"Find the Andalib, then run in the glow of the heart.",0.6369,0,0,0,0.0,False,0.0,0.0
@serioustroll99,Ultra-sound,"Trigger warning: Trigger warnings are the unfunniest joke in a world where children are r*ped, slaughtered, dismembered, and orphaned. Grow a pair.  I HOPE this post triggered you!    FreePalestine  Gaza  freekashmir",0.3664,2,2,0,0.6666666666666666,False,0.0,0.0
@sheerchai_meow,Sheerchai☭,Yasinmi Social Life Recent Tashmir Friesekashmir Saushmirvallay,0.0,0,0,0,0.0,False,0.0,0.0
@SuhailChougule,Suhail A.R. Chougule,"Salaam all,   AlAqsaUnderAttack  AlAqsaCallsMuslimArmies  freegaza  freepalestine  freekashmir  freepakistan  freerohingiyamuslims  IndianMuslimsUnderAttack  freeuyghurs Massalaam Suhail",0.0,0,0,0,0.0,False,0.0,0.0
