username,display_name,cleaned_content,sentiment_score,comments,reposts,keyword_score,repost_to_comment_ratio,is_suspicious_engagement,user_negative_post_count,suspicion_score
@abhishe98102624,प्याराloktantra,"Shame on  antinational ,  leftists makers of  Raazi movie. This is how  karachiwood aka  Bollywood has kept manipulating the facts  and pushing  antiindia narrative over the years on tips of lefitists.  Thankyou  Sikka Sir for exposing this out.",-0.7717,0,1,1,1.0,False,2.0,2.2717
@bhaskart2012,bhaskara Rao,ShameShameCongress    is  AntiIndia,0.0,0,0,1,0.0,False,2.0,1.5
@YashGhoshBengal,ইয়াস ঘোষ,"Who makes the mums of solemn? The Prime Minister of the country does not have any forgiveness for this savagery.  These are the work of the gang in the Urbannaxals Antindia Shores Funded pieces. They are insulting India by doing so. By the way ,,, Modi Sahib really knows how much he got to the media?",-0.8471,0,0,0,0.0,False,1.0,0.8471
@HarshaK18427126,Citizen journalist Bengaluru,fraud  fake  RahulGandhi  LYKN  CongressDNA  AntiIndia,-0.7845,0,0,0,0.0,False,2.0,0.7845
@HarshaK18427126,Citizen journalist Bengaluru,Again & again it's always  CongressParty in  Scandal  Corruption &  scam with  AntiIndia &  AntiHindu,-0.765,0,0,0,0.0,False,2.0,0.765
@abhishe98102624,प्याराloktantra,"Gaalibaaz  RahulTheLiar and congress has unleashed their   their goons to abuse  PM  Modiji . This is only exposing the dark, filthy,  antiindia character of congress.    BiharElections2025   BiharSir2025_चुनाव_आयोग   ArrestSanjayNirupam  vskmalwa  TheRajaSaab",-0.743,0,0,0,0.0,False,2.0,0.743
@ShriramSingh1,Shriram Singh,"जी, what do you have to say about Hindus in Bangladesh and Hindus in Pakistan..and also Kanhaiyalal and Hindus killed in Pahalgam by these Jehadis from Pakistan/Bangladesh ..   was is and will remain  antiindia and and will always wants Bharat to keep",-0.6705,0,0,0,0.0,False,1.0,0.6705
@sandeshnews,Sandesh,"WORLD NEWS: Why do the assailants attack on his church 'Nuke India' on his weapon, what does it mean?",-0.6486,0,0,0,0.0,False,1.0,0.6486
@bhaskart2012,bhaskara Rao,is planning to destroy our Bharat   Congress is  AntiIndia,-0.5423,0,0,0,0.0,False,2.0,0.5423
@netizenhind,@NetizenHind,But  antiIndia  antiHindu hate is an  AllAmerican value? Got it,-0.4497,0,0,0,0.0,False,1.0,0.4497
@bhaskart2012,bhaskara Rao,Where ever    in power.. people will suffer with stupid politial gains and british DNA divide and rule acts.. it's clear    is  AntiIndia  AntiHindu,-0.4404,0,0,0,0.0,False,2.0,0.4404
@NeelShukla19,Nilotpal Shukla,"you got a lot of work to do, clean this shit from the Country. NOW or NEVER.  AntiIndia  Hinduphobia  Islam  India",-0.3716,0,1,0,1.0,False,1.0,0.3716
@rama4321,Rama Rao,MinnesotaShooter Messages on his gun.  AntiIndia  AntiIsrael,-0.34,0,0,0,0.0,False,1.0,0.34
@manojsirsa,BairiSugreev,"Meet   , who is a well known FakeNews Peddler. Surprisingly, many prominent people RePost him. Here he is found spreading fake news. Indian Govt should blacklist this guy and ban all his SM handles in India  AntiIndia",-0.2732,0,1,0,1.0,False,1.0,0.2732
@netizenhind,@NetizenHind,"The growing  normalization of  antiHindu  antiIndia  bigotry in  America  Canada and elsewhere in the world is deeply  troubling. Prominent influencers like      ,    and now    are amplifying the intellectually and morally lazy yet",0.2228,0,0,0,0.0,False,1.0,0.0
